path,generated_question,generated_answer,raw_model_output,model_prediction,cleaned_prediction,cleaned_ground_truth
5e/5e3161f1.jpg,How many colors are visible in the image?,3,['Question: How many colors are visible in the image? Answer: The image is of a girl in pink dress with'],The image is of a girl in pink dress with,the image is of a girl in pink dress with,3
82/82b18223.jpg,What shape is the cell phone cover in the image?,square,['Question: What shape is the cell phone cover in the image? Answer: It is a rainbow glitter\n'],It is a rainbow glitter,it is a rainbow glitter,square
0c/0c0d43e2.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Phone case\n'],Phone case,phone case,cellular phone case
ba/ba2bd013.jpg,What text is visible on the phone case?,happy girls are the prettiest,['Question: What text is visible on the phone case? Answer:\n'],,,happy girls are the prettiest
08/08a09c5d.jpg,What animal is depicted on the phone case?,elephant,['Question: What animal is depicted on the phone case? Answer: elephant\n'],elephant,elephant,elephant
c5/c5d23997.jpg,What message is displayed on the phone case?,take it easy,['Question: What message is displayed on the phone case? Answer: Take it easy\n'],Take it easy,take it easy,take it easy
55/55fa2a39.jpg,What material is the cellular phone case made of?,silicon,['Question: What material is the cellular phone case made of? Answer: Polycarbonate\n'],Polycarbonate,polycarbonate,silicon
95/9500213e.jpg,What type of product is the image showing?,phone case,['Question: What type of product is the image showing? Answer: Bear\n'],Bear,bear,phone case
f7/f73585f7.jpg,What type of product is this?,Cellular Phone Case,['Question: What type of product is this? Answer: Beard & Glasses\n'],Beard & Glasses,beard glasses,cellular phone case
a8/a8dfe4ee.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: This is a phone case\n'],This is a phone case,this is a phone case,cellular phone case
e1/e10d396b.jpg,What type of product is depicted in the image?,cellular_phone_case,['Question: What type of product is depicted in the image? Answer:\n'],,,cellular phone case
cc/ccfccef9.jpg,What letter is prominently displayed on the phone case?,Y,['Question: What letter is prominently displayed on the phone case? Answer: Y\n'],Y,y,y
8a/8a9a8613.jpg,What type of object is depicted in the phone case image?,giraffe,['Question: What type of object is depicted in the phone case image? Answer: giraffe\n'],giraffe,giraffe,giraffe
ad/adda9c27.jpg,What is the main visible material in this image?,metal,['Question: What is the main visible material in this image? Answer: Orange\n'],Orange,orange,metal
12/12da2dac.jpg,What is the pattern of the phone case?,chevron,['Question: What is the pattern of the phone case? Answer: black and white chevron pattern\n'],black and white chevron pattern,black and white chevron pattern,chevron
2f/2f0760f5.jpg,What type of product is shown in the image?,cellular_phone_case,['Question: What type of product is shown in the image? Answer: a phone case\n'],a phone case,a phone case,cellular phone case
0e/0e7cfbf5.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Product is a phone case\n'],Product is a phone case,product is a phone case,cellular phone case
a9/a9d683b6.jpg,What design is on the phone case?,Hello kitty,['Question: What design is on the phone case? Answer:\n'],,,hello kitty
7a/7a5a3bf4.jpg,What type of cellular_phone_case is shown in the image?,motorola moto c plus,['Question: What type of cellular_phone_case is shown in the image? Answer:\n'],,,motorola moto c plus
ed/eddfccc1.jpg,What type of product is this?,phone case,['Question: What type of product is this? Answer: A candle\n'],A candle,a candle,phone case
06/06b97196.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
82/8209fe14.jpg,What type of product is depicted in the image?,cellular_phone_case,['Question: What type of product is depicted in the image? Answer:\n'],,,cellular phone case
db/dbf6c314.jpg,What type of product is this?,Cellular_phone_case,['Question: What type of product is this? Answer: iphone 7 plus case\n'],iphone 7 plus case,iphone 7 plus case,cellular phone case
be/be65169f.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
c9/c9a3d7de.jpg,What word is prominently displayed on the phone case?,Queen,['Question: What word is prominently displayed on the phone case? Answer: queen\n'],queen,queen,queen
13/13af5fc6.jpg,What color is the cellphone case in the image?,Pink,['Question: What color is the cellphone case in the image? Answer: Pink\n'],Pink,pink,pink
b2/b2cc91dc.jpg,What type of phone is this case for?,nokia 2.1,['Question: What type of phone is this case for? Answer: Nokia n8\n'],Nokia n8,nokia n8,nokia 21
c0/c0a45216.jpg,What color is the button on the phone case?,red,['Question: What color is the button on the phone case? Answer: Red\n'],Red,red,red
fd/fd4f803d.jpg,What color is the phone case in this image?,multicolor,['Question: What color is the phone case in this image? Answer:\n'],,,multicolor
2b/2bafd744.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: iphone 7 plus case\n'],iphone 7 plus case,iphone 7 plus case,cellular phone case
b0/b01cd943.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
85/85e4e251.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Phone case\n'],Phone case,phone case,cellular phone case
a4/a4dd9863.jpg,What type of phone case is this?,Coffee mug,"[""Question: What type of phone case is this? Answer: it's a coffee cup phone case\n""]",it's a coffee cup phone case,its a coffee cup phone case,coffee mug
cd/cdc3e5f3.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: A phone case\n'],A phone case,a phone case,cellular phone case
27/27904b54.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: mobile phone case\n'],mobile phone case,mobile phone case,cellular phone case
7a/7accfdcc.jpg,What material is this phone case made of?,plastic,['Question: What material is this phone case made of? Answer: Polycarbonate\n'],Polycarbonate,polycarbonate,plastic
c7/c7ec414a.jpg,What type of cellular phone case is shown in the image?,Silicone,['Question: What type of cellular phone case is shown in the image? Answer: lion\n'],lion,lion,silicone
0f/0f9831df.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: This is a soft case for samsung s9'],This is a soft case for samsung s9,this is a soft case for samsung s9,cellular phone case
89/89cccb80.jpg,What color is the phone case in the image?,Brown,['Question: What color is the phone case in the image? Answer: Black\n'],Black,black,brown
ae/ae0dffd3.jpg,What type of product is this?,cellular_phone_case,['Question: What type of product is this? Answer: Phone case\n'],Phone case,phone case,cellular phone case
7e/7eb39380.jpg,How many colors are visible in the product image?,3,['Question: How many colors are visible in the product image? Answer: 1\n'],1,1,3
3a/3a76788d.jpg,What type of cellular phone case is visible in the image?,Motorola moto g5s plus,['Question: What type of cellular phone case is visible in the image? Answer: The image is of a mobile phone case\n'],The image is of a mobile phone case,the image is of a mobile phone case,motorola moto g5s plus
