index,prediction,ground_truth
4,elephant,elephant
5,take it easy,take it easy
11,y,y
12,giraffe,giraffe
24,queen,queen
25,pink,pink
27,red,red
46,black girl magic,black girl magic
50,i love you,i love you
53,cancer,cancer
65,stars,stars
70,hello kitty,hello kitty
76,coffee cup,coffee cup
77,10,10
78,lion,lion
95,pink,pink
113,i hate everyone,i hate everyone
152,pink,pink
154,watermelon,watermelon
170,x,x
174,heart,heart
180,panda,panda
198,pineapple,pineapple
202,j,j
207,panda,panda
212,wood,wood
215,r,r
219,panda,panda
227,eiffel tower,eiffel tower
230,plastic,plastic
232,red,red
238,queen,queen
248,tribal,tribal
251,abstract,abstract
253,super girl,super girl
257,cat,cat
262,w,w
264,peacock,peacock
266,russia,russia
273,no,no
276,black,black
281,birds,birds
288,plastic,plastic
292,pink,pink
300,space,space
305,girl boss,girl boss
310,guitar,guitar
316,paris,paris
320,kiss,kiss
332,smiley face,smiley face
337,super girl,super girl
346,panda,panda
352,peacock,peacock
372,panda,panda
388,girl boss,girl boss
409,blue,blue
414,love,love
417,wood,wood
436,black girl magic,black girl magic
437,plastic,plastic
439,love,love
452,love pink,love pink
460,girl boss,girl boss
464,lion,lion
467,black,black
474,l,l
490,w,w
493,4,4
500,samsung,samsung
501,peacock,peacock
512,hello kitty,hello kitty
518,yellow,yellow
531,tribal,tribal
536,wood,wood
546,daddys girl,daddys girl
551,samsung galaxy a51,samsung galaxy a51
554,no bad vibes,no bad vibes
572,red,red
622,s,s
635,red,red
639,black,black
643,paisley,paisley
666,blue,blue
672,pomegranate,pomegranate
678,flowers,flowers
687,red,red
689,pink,pink
694,hello kitty,hello kitty
696,black,black
698,tiger,tiger
710,red,red
714,plastic,plastic
715,t,t
739,1,1
754,plastic,plastic
762,yes,yes
763,motorcycle,motorcycle
770,o,o
771,panda,panda
774,plastic,plastic
775,yes,yes
781,i hate everyone,i hate everyone
782,cat,cat
792,panda,panda
797,nail polish,nail polish
799,girl boss,girl boss
802,pink,pink
805,pink,pink
812,take it easy,take it easy
816,g,g
821,pink,pink
