main_image_id,image_path,color,model_name,product_type,style,material,fabric_type,pattern,item_shape
71agP6m-f9L,92/9277663f.jpg,Sily274,,SAUTE_FRY_PAN,,Aluminum body,,,
91AkaSJJ0JL,89/89b25762.jpg,,,ART_AND_CRAFT_SUPPLY,,,,,
61vFnM5v8ML,34/34075727.jpg,,,VITAMIN,,,,,
71XdkmQwm4L,99/99026a4b.jpg,,,VEHICLE_LIGHT_BULB,H4,Metall,,,
816qE9ljSPL,75/75347621.jpg,Dark Bronze,,BED,,Metal,,,
81Op4I7Xx-L,25/25a823e0.jpg,아이보리,,STOOL_SEATING,,灰石色,,,
71a5AHzDkPL,4d/4d231f38.jpg,,,VEGETABLE,,,,,
61ZA1cbvFgL,69/69bbc351.jpg,White,,DESK,Curved Desk,Wood,,,Rectangle
91vd7GHEbtL,75/751fd5e0.jpg,Nude,,WALLET,Wallet,Synthetic,,,
71XxzLT1+GL,84/84a58b14.jpg,Aspecto de gamuza arena.,Marsh_syntetic,BOOT,Botas Chelsea de ante,,,,
71+kIaM4XKL,7d/7d4829ea.jpg,,,FOOD_SERVICE_SUPPLY,,,,,
81GzbnbSv3L,a1/a15bff75.jpg,Hammertone Grey,,STORAGE_HOOK,J Hook,,,,
71W4Hn06F8L,46/46fb261f.jpg,Red/Black,,JANITORIAL_SUPPLY,Fine,,,,
81SuWpevLuL,da/da45b27a.jpg,,,MOUTHWASH,Mouthwash,,,,
71sAITreztL,3a/3ada1295.jpg,银色,"14k White Gold Baby Curb Chain Necklace, 24""",NECKLACE,链子,ゴールド,,,
61fkSr5RncL,cb/cb7b881e.jpg,,,RING,リング,,,,
71Gq3sZPJcL,30/30a766c6.jpg,,Collins,BOOT,Collins,,,,
61919kaRV5L,52/52c4895f.jpg,"Infradito Colorati Estivi, Con Finte Perline",,STORAGE_HOOK,Singolo,,,,
612JU-VmugL,eb/eba31846.jpg,Níquel cepillado y cromo.,,LIGHT_FIXTURE,Classic,Vidrio,,,
91-6fLd1ocL,f8/f866274a.jpg,,,FRUIT,,,,,
71To9i6LdxL,a3/a39a5707.jpg,Beige Beige,Leather Sports,SANDAL,Leather Sports,,,,
81tRDPRZ5JL,a3/a330765e.jpg,,,STEERING_WHEEL_COVER,,,,,
51EO9EvDtJL,18/18b4435f.jpg,Naturel,,HOME_MIRROR,Étagère,Chêne sauvage,,,
61pBheVtZ2L,d9/d9f7fd08.jpg,,,COMPUTER_COMPONENT,,,,,
819g3wGQerL,c3/c3775840.jpg,Multi,,WALL_ART,Gold,Wood,,,
91SyTyHGEVL,ba/ba887359.jpg,,,PORTABLE_TOOL_BOX,25 Compartments,,,,
41vVpsXspnL,13/133f897c.jpg,White,,FOOD_SERVICE_SUPPLY,Knives,,,,
91lmVGLTeHL,42/42d2e49c.jpg,,,OTTOMAN,,,,,
71j1lAARQjL,76/760040cd.jpg,,,BUILDING_MATERIAL,Steel,,,,
A1n4N5gV92L,5b/5b9e1da4.jpg,Storm,,SWATCH,,,,,
71q-sJXmxgL,83/8345198a.jpg,哑光黑色,,LIGHT_FIXTURE,Candelabro de pared,玻璃,,,
71TyaMnuJiL,d4/d432b0d4.jpg,,,AUTO_ACCESSORY,Totalmente sintético,,,,
714tziR6tbL,14/1448e5b6.jpg,Roble,CANDY,BED_FRAME,Cama Doble sin cabecero,Madera,,,Rectangular
81jzQXgQz7L,0b/0b501e55.jpg,Charleston,,BABY_PRODUCT,,,,,
