Question,Correct_Answer,Image_ID,Image_Path
What is the primary color?,blue,611DRbU8KqL,eb/eb74e704.jpg
What type of product is this?,fashionnecklacebraceletanklet,611DRbU8KqL,eb/eb74e704.jpg
What is the style?,diciembre,611DRbU8KqL,eb/eb74e704.jpg
How would you describe the texture?,smooth,611DRbU8KqL,eb/eb74e704.jpg
Is there a visible logo?,no,611DRbU8KqL,eb/eb74e704.jpg
What is the model name?,apple,71UVBKyM9CL,97/9735cfc6.jpg
What type of product is this?,cellular_phone_case,71UVBKyM9CL,97/9735cfc6.jpg
What type of product is this?,health_personal_care,619pD9bR4cL,b0/b070dcec.jpg
How would you describe the texture?,smooth,619pD9bR4cL,b0/b070dcec.jpg
Is there a visible logo?,no,619pD9bR4cL,b0/b070dcec.jpg
What is the model name?,oppo,71jrGZ7BYYL,d0/d0421259.jpg
What type of product is this?,cellular_phone_case,71jrGZ7BYYL,d0/d0421259.jpg
How would you describe the texture?,rough,71jrGZ7BYYL,d0/d0421259.jpg
