index,prediction,ground_truth
2,phone case,cellular phone case
3,,happy girls are the prettiest
4,elephant,elephant
5,take it easy,take it easy
10,,cellular phone case
11,y,y
12,giraffe,giraffe
14,black and white chevron pattern,chevron
17,,hello kitty
18,,motorola moto c plus
21,,cellular phone case
24,queen,queen
25,pink,pink
27,red,red
28,,multicolor
31,phone case,cellular phone case
39,phone case,cellular phone case
43,,cellular phone case
46,black girl magic,black girl magic
50,i love you,i love you
51,,gionee f9 plus
53,cancer,cancer
54,,phone case
58,the sun,sun
60,phone case,cellular phone case
65,stars,stars
68,never stop dreaming,dreaming
70,hello kitty,hello kitty
76,coffee cup,coffee cup
77,10,10
78,lion,lion
80,,heart
81,phone case,cellular phone case
83,,silicone
84,,silhouette of couple
88,,cellular phone case
89,,galaxy a5
95,pink,pink
96,,confetti
99,iphone 7 plus,iphone 7
100,,silicon
102,the phone case is in black,black
104,the moon,moon
106,,harley
107,,mug
110,a dog,dog
111,the lion,lion
112,,clear
113,i hate everyone,i hate everyone
116,,micromax canvas xpress 2 e313
119,,apna time ayega
120,,text
130,heart,hearts
144,phone case,cellular phone case
148,i am me and i want to change,i am me
152,pink,pink
153,super,super girl
154,watermelon,watermelon
162,,lavender
164,,plastic
166,,sweet sexy
170,x,x
171,,cellular phone case
174,heart,heart
176,,dads
180,panda,panda
181,,floral
185,a phone case,phone case
197,,happy girls are prettiest
198,pineapple,pineapple
199,,happy girls are the prettiest
202,j,j
203,,unicorns
206,red wood,wood
207,panda,panda
208,phone case,cellular phone case
212,wood,wood
214,,silicone
215,r,r
216,a house with balloons,house
217,,girl boss
219,panda,panda
220,,girl boss
221,phone case,cellular phone case
223,it is made of wood,wood
227,eiffel tower,eiffel tower
229,a squirrel,squirrel
230,plastic,plastic
232,red,red
235,,prince
238,queen,queen
239,phone case,cellular phone case
243,,queen
247,,rectangular
248,tribal,tribal
251,abstract,abstract
252,,girl boss
253,super girl,super girl
255,,lenovo vibe x3
257,cat,cat
259,,gionee a1
260,phone case,cellular phone case
262,w,w
263,,cellular phone case
264,peacock,peacock
265,,camouflage
266,russia,russia
272,,stone
273,no,no
276,black,black
277,a phone case,phone
278,,cellular phone case
280,,silicone
281,birds,birds
283,,heart
288,plastic,plastic
290,mobile phone case,phone case
292,pink,pink
294,,butterfly
296,a camera,camera
298,,lady dancing
300,space,space
305,girl boss,girl boss
306,,4
310,guitar,guitar
311,phone case,cellular phone case
312,,cellular
316,paris,paris
320,kiss,kiss
325,,prince
332,smiley face,smiley face
337,super girl,super girl
341,,vivo u20
346,panda,panda
348,,heart
351,,comic
352,peacock,peacock
354,it is made of silicone,silicone
355,,cellular phone case
356,,brown
357,,square
371,,silicon
372,panda,panda
375,the image is of a lake and mountains,lake
379,,y
381,,cellular phone case
386,,3
387,,flower
388,girl boss,girl boss
390,,flowers
395,it is a cactus plant,cactus
398,,iphone 4 4s
404,,flowers
405,the moon and the lake,moon
408,,plastic
409,blue,blue
414,love,love
417,wood,wood
425,red and white stripes,red
427,,siliconplastic
428,,full
429,phone case,cellular phone case
433,,pink
434,,plastic
436,black girl magic,black girl magic
437,plastic,plastic
439,love,love
444,the stars,stars
445,,van
452,love pink,love pink
457,a teddy bear,teddy bear
459,,polka dots
